Datetime,SCATS Number,Flow
2006-10-07 03:45:00,970,48.0
2006-10-07 04:00:00,970,46.0
2006-10-07 04:15:00,970,52.0
2006-10-07 04:30:00,970,48.0
2006-10-07 04:45:00,970,48.0
2006-10-07 05:00:00,970,51.0
2006-10-07 05:15:00,970,73.0
2006-10-07 05:30:00,970,87.0
2006-10-07 05:45:00,970,104.0
2006-10-07 06:00:00,970,121.0
2006-10-07 06:15:00,970,193.0
2006-10-07 06:30:00,970,274.0
2006-10-07 06:45:00,970,268.0
2006-10-07 07:00:00,970,234.0
2006-10-07 07:15:00,970,297.0
2006-10-07 07:30:00,970,353.0
2006-10-07 07:45:00,970,502.0
2006-10-07 08:00:00,970,494.0
2006-10-07 08:15:00,970,562.0
2006-10-07 08:30:00,970,675.0
2006-10-07 08:45:00,970,824.0
2006-10-07 09:00:00,970,784.0
2006-10-07 09:15:00,970,802.0
2006-10-07 09:30:00,970,872.0
2006-10-07 09:45:00,970,897.0
2006-10-07 10:00:00,970,926.0
2006-10-07 10:15:00,970,956.0
2006-10-07 10:30:00,970,1026.0
2006-10-07 10:45:00,970,1017.0
2006-10-07 11:00:00,970,1089.0
2006-10-07 11:15:00,970,1020.0
2006-10-07 11:30:00,970,1025.0
2006-10-07 11:45:00,970,1127.0
2006-10-07 12:00:00,970,1104.0
2006-10-07 12:15:00,970,1145.0
2006-10-07 12:30:00,970,1139.0
2006-10-07 12:45:00,970,1100.0
2006-10-07 13:00:00,970,1078.0
2006-10-07 13:15:00,970,1012.0
2006-10-07 13:30:00,970,1083.0
2006-10-07 13:45:00,970,1073.0
2006-10-07 14:00:00,970,988.0
2006-10-07 14:15:00,970,1073.0
2006-10-07 14:30:00,970,1013.0
2006-10-07 14:45:00,970,915.0
2006-10-07 15:00:00,970,930.0
2006-10-07 15:15:00,970,956.0
2006-10-07 15:30:00,970,961.0
2006-10-07 15:45:00,970,974.0
2006-10-07 16:00:00,970,989.0
2006-10-07 16:15:00,970,971.0
2006-10-07 16:30:00,970,941.0
2006-10-07 16:45:00,970,985.0
2006-10-07 17:00:00,970,904.0
2006-10-07 17:15:00,970,1032.0
2006-10-07 17:30:00,970,980.0
2006-10-07 17:45:00,970,1034.0
2006-10-07 18:00:00,970,993.0
2006-10-07 18:15:00,970,973.0
2006-10-07 18:30:00,970,937.0
2006-10-07 18:45:00,970,813.0
2006-10-07 19:00:00,970,716.0
2006-10-07 19:15:00,970,694.0
2006-10-07 19:30:00,970,624.0
2006-10-07 19:45:00,970,514.0
2006-10-07 20:00:00,970,483.0
2006-10-07 20:15:00,970,407.0
2006-10-07 20:30:00,970,384.0
2006-10-07 20:45:00,970,404.0
2006-10-07 21:00:00,970,374.0
2006-10-07 21:15:00,970,384.0
2006-10-07 21:30:00,970,335.0
2006-10-07 21:45:00,970,372.0
2006-10-07 22:00:00,970,378.0
2006-10-07 22:15:00,970,313.0
2006-10-07 22:30:00,970,370.0
2006-10-07 22:45:00,970,356.0
2006-10-07 23:00:00,970,372.0
2006-10-07 23:15:00,970,382.0
2006-10-07 23:30:00,970,360.0
2006-10-07 23:45:00,970,362.0
2006-10-08 00:00:00,970,331.0
2006-10-08 00:15:00,970,294.0
2006-10-08 00:30:00,970,236.0
2006-10-08 00:45:00,970,190.0
2006-10-08 01:00:00,970,195.0
2006-10-08 01:15:00,970,169.0
2006-10-08 01:30:00,970,152.0
2006-10-08 01:45:00,970,126.0
2006-10-08 02:00:00,970,108.0
2006-10-08 02:15:00,970,94.0
2006-10-08 02:30:00,970,96.0
2006-10-08 02:45:00,970,78.0
2006-10-08 03:00:00,970,71.0
2006-10-08 03:15:00,970,66.0
2006-10-08 03:30:00,970,48.0
2006-10-08 03:45:00,970,60.0
2006-10-08 04:00:00,970,48.0
2006-10-08 04:15:00,970,57.0
2006-10-08 04:30:00,970,39.0
2006-10-08 04:45:00,970,47.0
2006-10-08 05:00:00,970,43.0
2006-10-08 05:15:00,970,52.0
2006-10-08 05:30:00,970,58.0
2006-10-08 05:45:00,970,77.0
2006-10-08 06:00:00,970,93.0
2006-10-08 06:15:00,970,108.0
2006-10-08 06:30:00,970,178.0
2006-10-08 06:45:00,970,209.0
2006-10-08 07:00:00,970,164.0
2006-10-08 07:15:00,970,188.0
2006-10-08 07:30:00,970,238.0
2006-10-08 07:45:00,970,241.0
2006-10-08 08:00:00,970,253.0
2006-10-08 08:15:00,970,318.0
2006-10-08 08:30:00,970,309.0
2006-10-08 08:45:00,970,397.0
2006-10-08 09:00:00,970,422.0
2006-10-08 09:15:00,970,487.0
2006-10-08 09:30:00,970,682.0
2006-10-08 09:45:00,970,688.0
2006-10-08 10:00:00,970,675.0
2006-10-08 10:15:00,970,740.0
2006-10-08 10:30:00,970,688.0
2006-10-08 10:45:00,970,809.0
2006-10-08 11:00:00,970,805.0
2006-10-08 11:15:00,970,900.0
2006-10-08 11:30:00,970,870.0
2006-10-08 11:45:00,970,991.0
2006-10-08 12:00:00,970,952.0
2006-10-08 12:15:00,970,1052.0
2006-10-08 12:30:00,970,973.0
2006-10-08 12:45:00,970,929.0
2006-10-08 13:00:00,970,917.0
2006-10-08 13:15:00,970,988.0
2006-10-08 13:30:00,970,947.0
